OMOP Field,Descripción_gpt,Tabla OMOP sugerida,Tipo de dato_gpt,Rango esperado / Observaciones,Significado,Tipo de dato_claude,Unidad,Descripción_claude,Observaciones
CLINIC_NAME,Nombre de la clínica,VISIT_OCCURRENCE,string,Nombre del centro médico,Nombre de la clínica,Varchar,,Centro médico donde se realiza seguimiento,Ubicación de la consulta o seguimiento
MANUFACTURER_PRIORITY,Prioridad del fabricante,DEVICE_EXPOSURE,string / ordinal,Interno; sin rango definido,Prioridad del fabricante,Varchar/Integer,,Nivel de prioridad según fabricante,Puede indicar urgencia de revisión
MDC_IDC_DEV_IMPLANT_DT,Fecha de implantación,DEVICE_EXPOSURE,date,Fecha válida,Fecha de implante,Date,,Fecha en que se implantó el dispositivo,Importante para calcular longevidad
MDC_IDC_DEV_MFG,,,,,Fabricante del dispositivo,Varchar,,Empresa fabricante del dispositivo,"Ej: ""Medtronic"", ""Boston Scientific"", ""Abbott"""
MDC_IDC_DEV_MODEL,,,,,Modelo del dispositivo,Varchar,,Modelo específico del dispositivo,Código o nombre del modelo comercial
MDC_IDC_DEV_SERIAL,,,,,Número de serie,Varchar,,Número único de identificación del dispositivo,Identificador único del fabricante
MDC_IDC_DEV_TYPE,,,,,Tipo de dispositivo,Varchar,,Categoría del dispositivo implantado,"Ej: ""ICD"", ""CRT-D"", ""Pacemaker"", ""CRT-P"""
MDC_IDC_MSMT_BATTERY_DTM,,,,,Fecha y hora de medición de batería,Datetime,,Momento de la medición del estado de batería,Timestamp de la evaluación de batería
MDC_IDC_MSMT_BATTERY_REMAINING_LONGEVITY,,,,,Longevidad restante de batería,Numeric,Años/Meses,Tiempo estimado de vida útil restante,Predicción de duración restante
MDC_IDC_MSMT_BATTERY_REMAINING_PERCENTAGE,Batería restante (%),MEASUREMENT,numeric,0–100%,Porcentaje restante de batería,Numeric,%,Porcentaje de batería disponible,0-100%
MDC_IDC_MSMT_BATTERY_RRT_TRIGGER,,,,,Activación de reemplazo recomendado,Boolean,,Indica si se recomienda reemplazo,"0=No, 1=Sí"
MDC_IDC_MSMT_BATTERY_STATUS,,,,,Estado de la batería,Varchar,,Estado actual de la batería,"Ej: ""Normal"", ""ERI"" (Elective Replacement Indicator), ""EOL"" (End of Life)"
MDC_IDC_MSMT_BATTERY_VOLTAGE,,,,,Voltaje de batería,Numeric,Voltios,Voltaje actual de la batería,Medición directa del voltaje
MDC_IDC_MSMT_LEADCHNL_LV_IMPEDANCE_VALUE,,,,,Impedancia del electrodo ventricular izquierdo,Numeric,Ohms,Resistencia eléctrica del electrodo ventricular izquierdo,Indicador de integridad del electrodo
MDC_IDC_MSMT_LEADCHNL_LV_LEAD_CHANNEL_STATUS,Estado canal LV,OBSERVATION,string,"OK, fallo, alerta",Estado del electrodo ventricular izquierdo,Varchar,,Estado funcional del electrodo ventricular izquierdo,"Ej: ""Normal"", ""Noise"", ""Fracture"""
MDC_IDC_MSMT_LEADCHNL_LV_PACING_THRESHOLD_AMPLITUDE,Umbral amplitud LV,MEASUREMENT,numeric,0.25–5.0 V,Umbral de estimulación ventricular izquierda,Numeric,V,Voltaje mínimo para captura ventricular izquierda,Mínima energía necesaria para estimulación efectiva
MDC_IDC_MSMT_LEADCHNL_LV_PACING_THRESHOLD_PULSEWIDTH,Umbral duración LV,MEASUREMENT,numeric,0.1–1.0 ms,Duración umbral de pulso ventricular izquierdo,Numeric,ms,Duración mínima para captura ventricular izquierda,Ancho de pulso mínimo necesario
MDC_IDC_MSMT_LEADCHNL_LV_SENSING_INTR_AMPL,Amplitud intracardíaca LV,MEASUREMENT,numeric,0.1–10.0 mV,Amplitud intrínseca ventricular izquierda,Numeric,mV,Amplitud de la señal intrínseca ventricular izquierda,Fuerza de la señal eléctrica ventricular izquierda nativa
MDC_IDC_MSMT_LEADCHNL_RA_IMPEDANCE_VALUE,Impedancia RA,MEASUREMENT,numeric,200–2000 Ohms,Impedancia del electrodo auricular derecho,Numeric,Ohms,Resistencia eléctrica del electrodo auricular,Indicador de integridad del electrodo
MDC_IDC_MSMT_LEADCHNL_RA_LEAD_CHANNEL_STATUS,Estado canal RA,OBSERVATION,string,"OK, fallo, alerta",Estado del electrodo auricular derecho,Varchar,,Estado funcional del electrodo auricular,"Ej: ""Normal"", ""Noise"", ""Fracture"""
MDC_IDC_MSMT_LEADCHNL_RA_PACING_THRESHOLD_AMPLITUDE,Umbral amplitud RA,MEASUREMENT,numeric,0.25–5.0 V,Umbral de estimulación auricular derecha,Numeric,V,Voltaje mínimo para captura auricular,Mínima energía necesaria para estimulación efectiva
MDC_IDC_MSMT_LEADCHNL_RA_PACING_THRESHOLD_PULSEWIDTH,Umbral duración RA,MEASUREMENT,numeric,0.1–1.0 ms,Duración umbral de pulso auricular,Numeric,ms,Duración mínima para captura auricular,Ancho de pulso mínimo necesario
MDC_IDC_MSMT_LEADCHNL_RA_SENSING_INTR_AMPL,Amplitud intracardíaca RA,MEASUREMENT,numeric,0.1–10.0 mV,Amplitud intrínseca auricular derecha,Numeric,mV,Amplitud de la señal intrínseca auricular,Fuerza de la señal eléctrica auricular nativa
MDC_IDC_MSMT_LEADCHNL_RV_IMPEDANCE_VALUE,,,,,Impedancia del electrodo ventricular derecho,Numeric,Ohms,Resistencia eléctrica del electrodo ventricular derecho,Indicador de integridad del electrodo
MDC_IDC_MSMT_LEADCHNL_RV_LEAD_CHANNEL_STATUS,Estado canal RV,OBSERVATION,string,"OK, fallo, alerta",Estado del electrodo ventricular derecho,Varchar,,Estado funcional del electrodo ventricular derecho,"Ej: ""Normal"", ""Noise"", ""Fracture"""
MDC_IDC_MSMT_LEADCHNL_RV_PACING_THRESHOLD_AMPLITUDE,Umbral amplitud RV,MEASUREMENT,numeric,0.25–5.0 V,Umbral de estimulación ventricular derecha,Numeric,V,Voltaje mínimo para captura ventricular derecha,Mínima energía necesaria para estimulación efectiva
MDC_IDC_MSMT_LEADCHNL_RV_PACING_THRESHOLD_PULSEWIDTH,Umbral duración RV,MEASUREMENT,numeric,0.1–1.0 ms,Duración umbral de pulso ventricular derecho,Numeric,ms,Duración mínima para captura ventricular derecha,Ancho de pulso mínimo necesario
MDC_IDC_MSMT_LEADCHNL_RV_SENSING_INTR_AMPL,Amplitud intracardíaca RV,MEASUREMENT,numeric,0.1–20.0 mV,Amplitud intrínseca ventricular derecha,Numeric,mV,Amplitud de la señal intrínseca ventricular derecha,Fuerza de la señal eléctrica ventricular derecha nativa
MDC_IDC_SESS_DTM,,,,,Fecha y hora de sesión,Datetime,,Momento exacto de la interrogación del dispositivo,Timestamp de la sesión de seguimiento
MDC_IDC_SESS_TYPE,,,,,Tipo de sesión,Varchar,,"Categoría de la sesión (presencial, remota)","Ej: ""In-clinic"", ""Remote"", ""Ambulatory"""
MDC_IDC_SET_BRADY_AV_DELAY_HIGH,,,,,Retardo AV alto,Numeric,ms,Intervalo AV programado para frecuencias altas,Tiempo entre actividad auricular y ventricular a alta frecuencia
MDC_IDC_SET_BRADY_AV_DELAY_LOW,,,,,Retardo AV bajo,Numeric,ms,Intervalo AV programado para frecuencias bajas,Tiempo entre actividad auricular y ventricular a baja frecuencia
MDC_IDC_SET_BRADY_HYSTRATE,,,,,Frecuencia de histéresis,Numeric,lpm,Frecuencia de histéresis programada,Permite frecuencia intrínseca más baja antes de estimular
MDC_IDC_SET_BRADY_LOWRATE,Frecuencia mínima,OBSERVATION,integer,30–70 bpm,Frecuencia cardíaca mínima,Numeric,lpm,Frecuencia mínima de estimulación,Límite inferior programado
MDC_IDC_SET_BRADY_MAX_SENSOR_RATE,,,,,Frecuencia máxima del sensor,Numeric,lpm,Límite superior de respuesta al sensor,Frecuencia máxima permitida por actividad del sensor
MDC_IDC_SET_BRADY_MAX_TRACKING_RATE,,,,,Frecuencia máxima de seguimiento,Numeric,lpm,Límite superior de respuesta a eventos auriculares,Máxima frecuencia ventricular en respuesta a eventos auriculares
MDC_IDC_SET_BRADY_MODE,,,,,Modo de estimulación antibradicardia,Varchar,,Modo de estimulación programado,"Ej: ""DDD"", ""VVI"", ""AAI"", ""DDDR"""
MDC_IDC_SET_LEADCHNL_LV_PACING_AMPLITUDE,Amplitud estimulación LV,OBSERVATION,numeric,0.5–7.5 V,Amplitud de estimulación ventricular izquierda,Numeric,V,Voltaje de salida para estimulación ventricular izquierda,Energía aplicada para captura ventricular izquierda
MDC_IDC_SET_LEADCHNL_LV_PACING_POLARITY,Polaridad estimulación LV,OBSERVATION,string,Unipolar/Bipolar,Polaridad de estimulación ventricular izquierda,Varchar,,Configuración de polaridad para estimulación ventricular izquierda,"Ej: ""Bipolar"", ""Unipolar"""
MDC_IDC_SET_LEADCHNL_LV_PACING_PULSEWIDTH,Duración impulso LV,OBSERVATION,numeric,0.1–1.0 ms,Duración de pulso ventricular izquierdo,Numeric,ms,Duración del pulso para estimulación ventricular izquierda,Ancho del impulso eléctrico ventricular izquierdo
MDC_IDC_SET_LEADCHNL_LV_SENSING_POLARITY,Polaridad sensado LV,OBSERVATION,string,Unipolar/Bipolar,Polaridad de detección ventricular izquierda,Varchar,,Configuración de polaridad para detección ventricular izquierda,"Ej: ""Bipolar"", ""Unipolar"""
MDC_IDC_SET_LEADCHNL_LV_SENSING_SENSITIVITY,Sensibilidad sensado LV,OBSERVATION,numeric,0.5–5.0 mV,Sensibilidad de detección ventricular izquierda,Numeric,mV,Umbral de detección para el ventrículo izquierdo,Valor mínimo para detectar señal ventricular izquierda
MDC_IDC_SET_LEADCHNL_RA_PACING_AMPLITUDE,Amplitud estimulación RA,OBSERVATION,numeric,0.5–7.5 V,Amplitud de estimulación auricular derecha,Numeric,V,Voltaje de salida para estimulación auricular,Energía aplicada para captura auricular
MDC_IDC_SET_LEADCHNL_RA_PACING_POLARITY,Polaridad estimulación RA,OBSERVATION,string,Unipolar/Bipolar,Polaridad de estimulación auricular derecha,Varchar,,Configuración de polaridad para estimulación auricular,"Ej: ""Bipolar"", ""Unipolar"""
MDC_IDC_SET_LEADCHNL_RA_PACING_PULSEWIDTH,Duración impulso RA,OBSERVATION,numeric,0.1–1.0 ms,Duración de pulso auricular derecho,Numeric,ms,Duración del pulso para estimulación auricular,Ancho del impulso eléctrico auricular
MDC_IDC_SET_LEADCHNL_RA_SENSING_POLARITY,Polaridad sensado RA,OBSERVATION,string,Unipolar/Bipolar,Polaridad de detección auricular derecha,Varchar,,Configuración de polaridad para detección auricular,"Ej: ""Bipolar"", ""Unipolar"""
MDC_IDC_SET_LEADCHNL_RA_SENSING_SENSITIVITY,Sensibilidad sensado RA,OBSERVATION,numeric,0.5–5.0 mV,Sensibilidad de detección auricular derecha,Numeric,mV,Umbral de detección para la aurícula derecha,Valor mínimo para detectar señal auricular
MDC_IDC_SET_LEADCHNL_RV_PACING_AMPLITUDE,Amplitud estimulación RV,OBSERVATION,numeric,0.5–7.5 V,Amplitud de estimulación ventricular derecha,Numeric,V,Voltaje de salida para estimulación ventricular derecha,Energía aplicada para captura ventricular derecha
MDC_IDC_SET_LEADCHNL_RV_PACING_POLARITY,Polaridad estimulación RV,OBSERVATION,string,Unipolar/Bipolar,Polaridad de estimulación ventricular derecha,Varchar,,Configuración de polaridad para estimulación ventricular derecha,"Ej: ""Bipolar"", ""Unipolar"""
MDC_IDC_SET_LEADCHNL_RV_PACING_PULSEWIDTH,Duración impulso RV,OBSERVATION,numeric,0.1–1.0 ms,Duración de pulso ventricular derecho,Numeric,ms,Duración del pulso para estimulación ventricular derecha,Ancho del impulso eléctrico ventricular derecho
MDC_IDC_SET_LEADCHNL_RV_SENSING_POLARITY,Polaridad sensado RV,OBSERVATION,string,Unipolar/Bipolar,Polaridad de detección ventricular derecha,Varchar,,Configuración de polaridad para detección ventricular derecha,"Ej: ""Bipolar"", ""Unipolar"""
MDC_IDC_SET_LEADCHNL_RV_SENSING_SENSITIVITY,Sensibilidad sensado RV,OBSERVATION,numeric,0.5–5.0 mV,Sensibilidad de detección ventricular derecha,Numeric,mV,Umbral de detección para el ventrículo derecho,Valor mínimo para detectar señal ventricular derecha
MDC_IDC_SET_ZONE_DETECTION_INTERVAL,Intervalo de detección,OBSERVATION,integer,≥ 0,Intervalo de detección de zona,Numeric,ms,Intervalo para clasificar arritmias,Tiempo entre latidos para clasificar tipo de taquiarritmia
MDC_IDC_SET_ZONE_TYPE,Tipo de zona de detección,OBSERVATION,string,"VT, VF, etc.",Tipo de zona de taquicardia,Varchar,,Categoría de la zona de detección de taquiarritmias,"Ej: ""VT"", ""VF"", ""SVT"", ""AF"""
MDC_IDC_STAT_AT_BURDEN_PERCENT,Carga de taquicardia auricular (%),OBSERVATION,numeric,0–100%,Carga de taquicardia auricular,Numeric,%,Porcentaje de tiempo en taquicardia auricular,Indicador de carga arrítmica auricular
MDC_IDC_STAT_AT_DTM_END,Fin AT,OBSERVATION,datetime,Fecha válida,Fin de período de evaluación AT,Datetime,,Fecha y hora de fin para estadísticas de taquicardia auricular,Fin del período de monitoreo
MDC_IDC_STAT_AT_DTM_START,Inicio AT,OBSERVATION,datetime,Fecha válida,Inicio de período de evaluación AT,Datetime,,Fecha y hora de inicio para estadísticas de taquicardia auricular,Inicio del período de monitoreo
MDC_IDC_STAT_AT_MODE_SW_COUNT,Cambios modo AT,OBSERVATION,integer,≥ 0,Conteo de cambios de modo,Integer,,Número de cambios automáticos de modo,Respuestas a episodios de taquicardia auricular
MDC_IDC_STAT_AT_MODE_SW_MAX_DURATION,Duración máxima modo AT,OBSERVATION,integer,Segundos o minutos,Duración máxima de cambio de modo,Numeric,Minutos,Tiempo máximo de un cambio de modo,Duración del episodio más largo
MDC_IDC_STAT_BRADY_AP_VP_PERCENT,% AP/VP,OBSERVATION,numeric,0–100%,Porcentaje AP-VP,Numeric,%,Porcentaje de eventos auriculares y ventriculares estimulados,Indica completa dependencia del marcapasos
MDC_IDC_STAT_BRADY_AP_VS_PERCENT,% AP/VS,OBSERVATION,numeric,0–100%,Porcentaje AP-VS,Numeric,%,Porcentaje de eventos auriculares estimulados y ventriculares sentidos,Indica conducción AV intrínseca con estimulación auricular
MDC_IDC_STAT_BRADY_AS_VP_PERCENT,% AS/VP,OBSERVATION,numeric,0–100%,Porcentaje AS-VP,Numeric,%,Porcentaje de eventos auriculares sentidos y ventriculares estimulados,Indica bloqueo AV o conducción AV deficiente
MDC_IDC_STAT_BRADY_AS_VS_PERCENT,% AS/VS,OBSERVATION,numeric,0–100%,Porcentaje AS-VS,Numeric,%,Porcentaje de eventos auriculares sentidos y ventriculares sentidos,Medida de conducción AV intrínseca
MDC_IDC_STAT_BRADY_RA_PERCENT_PACED,% estimulación RA,OBSERVATION,numeric,0–100%,Porcentaje de estimulación auricular,Numeric,%,Porcentaje de latidos auriculares estimulados,"0-100%, muestra dependencia de marcapasos"
MDC_IDC_STAT_BRADY_RV_PERCENT_PACED,% estimulación RV,OBSERVATION,numeric,0–100%,Porcentaje de estimulación ventricular derecha,Numeric,%,Porcentaje de latidos ventriculares derechos estimulados,"0-100%, muestra dependencia de marcapasos"
MDC_IDC_STAT_CRT_LV_PERCENT_PACED,% estimulación CRT-LV,OBSERVATION,numeric,0–100%,Porcentaje de estimulación ventricular izquierda,Numeric,%,Porcentaje de latidos ventriculares izquierdos estimulados,"0-100%, importante para evaluar CRT"
MDC_IDC_STAT_CRT_PERCENT_PACED,% estimulación CRT global,OBSERVATION,numeric,0–100%,Porcentaje de estimulación CRT,Numeric,%,Porcentaje de latidos con resincronización,Indica efectividad de la terapia CRT
MDC_IDC_STAT_TACHYTHERAPY_ATP_DELIVERED_RECENT,ATP recientes,OBSERVATION,integer,≥ 0,ATP recientes entregados,Integer,,Número de terapias de estimulación antitaquicardia recientes,Conteo de ATP en período reciente
MDC_IDC_STAT_TACHYTHERAPY_ATP_DELIVERED_TOTAL,ATP totales,OBSERVATION,integer,≥ 0,Total de ATP entregados,Integer,,Número total de terapias ATP desde implante,Acumulativo en vida del dispositivo
MDC_IDC_STAT_TACHYTHERAPY_RECENT_DTM_END,Fin terapia reciente,OBSERVATION,datetime,Fecha válida,Fin de período reciente de terapia,Datetime,,Fecha y hora de fin del período reciente evaluado,Fin del período de evaluación
MDC_IDC_STAT_TACHYTHERAPY_RECENT_DTM_START,Inicio terapia reciente,OBSERVATION,datetime,Fecha válida,Inicio de período reciente de terapia,Datetime,,Fecha y hora de inicio del período reciente evaluado,Inicio del período de evaluación
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_ABORTED_RECENT,Choques recientes abortados,OBSERVATION,integer,≥ 0,Choques recientes abortados,Integer,,Número de terapias de choque canceladas,Terapias que no fueron necesarias
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_ABORTED_TOTAL,Choques abortados totales,OBSERVATION,integer,≥ 0,Total de choques abortados,Integer,,Número total de terapias de choque canceladas,Acumulativo en vida del dispositivo
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_DELIVERED_RECENT,,,,,Choques recientes entregados,Integer,,Número de terapias de choque recientes,Conteo en período reciente
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_DELIVERED_TOTAL,Total choques entregados,OBSERVATION,integer,≥ 0,Total de choques entregados,Integer,,Número total de terapias de choque desde implante,Acumulativo en vida del dispositivo
MDC_IDC_STAT_TACHYTHERAPY_SHOCKS_DELIVERED_TOTAL,Choques totales,OBSERVATION,integer,≥ 0,Total de choques entregados,Integer,,Número total de terapias de choque desde implante,Acumulativo en vida del dispositivo
MDC_IDC_STAT_TACHYTHERAPY_TOTAL_DTM_END,Fin terapia total,OBSERVATION,datetime,Fecha válida,Fin de período total de terapia,Datetime,,Fecha y hora de fin del período total evaluado,Hasta la fecha actual
MDC_IDC_STAT_TACHYTHERAPY_TOTAL_DTM_START,Inicio terapia total,OBSERVATION,datetime,Fecha válida,Inicio de período total de terapia,Datetime,,Fecha y hora de inicio del período total evaluado,Inicio del período de vida del dispositivo
PT_DOB,Fecha de nacimiento del paciente,PERSON,date,Fecha válida; típicamente > 1900 y < fecha actual,Fecha de nacimiento,Date,,Fecha de nacimiento del paciente,Utilizado para cálculos de edad
PT_GENDER,Género del paciente,PERSON,string / concept_id,M/F/Other o mapeado a concept_id estándar,Género del paciente,Varchar,,Sexo biológico o género del paciente,"Típicamente ""M"", ""F"" u otros valores definidos"
PT_NAME,Nombre del paciente,PERSON,string,Nombre completo del paciente,Nombre del paciente,Varchar,,Nombre completo del paciente,Datos demográficos e información identificativa
